feature,importance,fold
PREV_NAME_PAYMENT_TYPE_NAN_MEAN,0,1
PREV_CODE_REJECT_REASON_CLIENT_MEAN,5,1
PREV_CODE_REJECT_REASON_HC_MEAN,320,1
PREV_CODE_REJECT_REASON_LIMIT_MEAN,113,1
PREV_CODE_REJECT_REASON_SCO_MEAN,229,1
PREV_CODE_REJECT_REASON_SCOFR_MEAN,70,1
PREV_CODE_REJECT_REASON_SYSTEM_MEAN,0,1
PREV_CODE_REJECT_REASON_VERIF_MEAN,52,1
PREV_CODE_REJECT_REASON_XAP_MEAN,270,1
PREV_CODE_REJECT_REASON_XNA_MEAN,32,1
PREV_CODE_REJECT_REASON_NAN_MEAN,0,1
PREV_NAME_TYPE_SUITE_CHILDREN_MEAN,220,1
PREV_NAME_TYPE_SUITE_FAMILY_MEAN,722,1
PREV_NAME_TYPE_SUITE_GROUPOFPEOPLE_MEAN,29,1
PREV_NAME_TYPE_SUITE_OTHER_A_MEAN,70,1
PREV_NAME_TYPE_SUITE_OTHER_B_MEAN,124,1
PREV_NAME_TYPE_SUITE_SPOUSEPARTNER_MEAN,303,1
PREV_NAME_TYPE_SUITE_UNACCOMPANIED_MEAN,937,1
PREV_NAME_TYPE_SUITE_NAN_MEAN,1005,1
PREV_NAME_CLIENT_TYPE_NEW_MEAN,401,1
PREV_NAME_CLIENT_TYPE_REFRESHED_MEAN,450,1
PREV_NAME_CLIENT_TYPE_REPEATER_MEAN,458,1
PREV_NAME_CLIENT_TYPE_XNA_MEAN,23,1
PREV_NAME_CLIENT_TYPE_NAN_MEAN,0,1
PREV_NAME_GOODS_CATEGORY_ADDITIONALSERVICE_MEAN,0,1
PREV_NAME_GOODS_CATEGORY_ANIMALS_MEAN,0,1
PREV_NAME_GOODS_CATEGORY_AUDIOVIDEO_MEAN,392,1
PREV_NAME_GOODS_CATEGORY_AUTOACCESSORIES_MEAN,56,1
PREV_NAME_GOODS_CATEGORY_CLOTHINGANDACCESSORIES_MEAN,70,1
PREV_NAME_GOODS_CATEGORY_COMPUTERS_MEAN,461,1
PREV_NAME_GOODS_CATEGORY_CONSTRUCTIONMATERIALS_MEAN,148,1
PREV_NAME_GOODS_CATEGORY_CONSUMERELECTRONICS_MEAN,369,1
PREV_NAME_GOODS_CATEGORY_DIRECTSALES_MEAN,0,1
PREV_NAME_GOODS_CATEGORY_EDUCATION_MEAN,0,1
PREV_NAME_GOODS_CATEGORY_FITNESS_MEAN,0,1
PREV_NAME_GOODS_CATEGORY_FURNITURE_MEAN,286,1
PREV_NAME_GOODS_CATEGORY_GARDENING_MEAN,87,1
PREV_NAME_GOODS_CATEGORY_HOMEWARES_MEAN,26,1
PREV_NAME_GOODS_CATEGORY_HOUSECONSTRUCTION_MEAN,0,1
PREV_NAME_GOODS_CATEGORY_INSURANCE_MEAN,0,1
